id,institution_name,institution_address,outbreak_setting,type_of_outbreak,causative_agent_1,causative_agent_2,date_outbreak_began,date_declared_over,active
147,"The Dunfield Retirement Residence - 5th, 7th & 18th Fl",77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,NA,2020-10-30,2020-11-15,N
148,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-10-30,2020-12-24,N
149,North Park Nursing Home - 2nd Fl,475 Rustic Rd,LTCH,Respiratory,COVID-19,NA,2020-10-29,2020-12-10,N
150,Scarborough Health Network - Birchmount Hospital -,3030 Birchmount Rd - 4A Medicine,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-27,2020-11-12,N
151,Scarborough Health Network - General Hospital - T7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-27,2020-11-27,N
152,Kensington Gardens - 3 West,25 Bruinswick Ave,LTCH,Respiratory,COVID-19,NA,2020-10-26,2020-11-15,N
153,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-10-26,2020-11-19,N
154,"Briton House Retirement Centre - 3rd, 4th, 7th & 9th Fl",720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,NA,2020-10-25,2020-11-07,N
155,North York General Hospital - OR,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-25,2020-11-09,N
156,Castleview Wychwood Towers,351 Christie St,LTCH,Respiratory,COVID-19,NA,2020-10-25,2020-11-10,N
157,Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,COVID-19,NA,2020-10-25,2021-01-22,N
158,Scarborough Health Network - General Hospital - T6,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-23,2020-11-06,N
159,Centre for Addiction & Mental Health - Queen Site - Unit 2-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,NA,2020-10-23,2020-11-09,N
160,True Davidson Acres - 3rd Fl,200 Dawes Rd,LTCH,Respiratory,COVID-19,NA,2020-10-23,2020-11-14,N
161,Sage Care,147 Elder St,Retirement Home,Respiratory,COVID-19,NA,2020-10-23,2020-12-07,N
162,Shepherd Lodge Nursing Home - 4th & 6th Fl,3760 Sheppard Ave E,LTCH,Respiratory,COVID-19,NA,2020-10-23,2021-02-26,N
163,Sunnybrook Health Sciences Centre - C5,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-22,2020-11-08,N
164,Tendercare Living Centre - Kitchen/Dietary,1020 McNicoll Ave,LTCH,Respiratory,COVID-19,NA,2020-10-22,2020-11-16,N
165,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,COVID-19,NA,2020-10-22,2020-11-20,N
166,Greenview Lodge - 2nd Fl,880 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-10-22,2020-12-17,N
167,Baycrest Apotex Centre - A5RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-10-21,2020-11-04,N
168,UHN - Toronto Rehabilitation Institute - University Centre -,550 University Ave - 7 South,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-10-21,2020-11-06,N
169,Wesburn Manor - 2nd Fl,400 The West Mall,LTCH,Respiratory,COVID-19,NA,2020-10-21,2020-11-14,N
170,Unity Health Toronto - St. Michael's Hospital - Emergency Ro,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-20,2020-11-02,N
171,Scarborough Health Network - General Hospital - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-20,2020-11-06,N
172,Christie Gardens Apartments & Care,600 Melita Cres,Retirement Home,Respiratory,COVID-19,NA,2020-10-20,2020-11-15,N
173,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,COVID-19,NA,2020-10-20,2020-12-24,N
174,Hawthorne Place Care Centre - 3rd Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,NA,2020-10-19,2020-11-09,N
175,"Chartwell Grenadier Retirement Residence - Main Building B,","2100 Bloor St W - C, D",Retirement Home,Respiratory,COVID-19,NA,2020-10-19,2020-11-23,N
176,Centre for Addiction & Mental Health - Queen Site - 1-4 /1-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,NA,2020-10-18,2020-11-18,N
177,North York General Hospital - Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,COVID-19,NA,2020-10-18,2020-11-20,N
178,Unity Health Toronto - St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-16,2020-10-28,N
179,UHN- Toronto Western Hospital - 8 A & B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-15,2020-10-31,N
180,Unity Health Toronto - St. Joseph's Health Centre - 4e - 4e,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-15,2020-11-01,N
181,Fieldstone Commons Care Community - 1A,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,NA,2020-10-15,2021-01-19,N
182,Unity Health Toronto - St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-14,2020-10-23,N
183,Chartwell Trilogy Long Term Care - 3rd Fl,340 McCowan Rd,LTCH,Respiratory,COVID-19,NA,2020-10-14,2020-11-19,N
184,Reactivation Care Centre - Markham Stouville Hospital - 5w -,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-10-13,2020-10-21,N
185,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,COVID-19,NA,2020-10-13,2020-10-30,N
186,Cedarhurst Home - 1st Fl,2601 Bayview Ave,Retirement Home,Respiratory,COVID-19,NA,2020-10-13,2020-10-30,N
187,Baycrest Apotex Centre - Ltch - Apotex 4rf,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-10-13,2020-10-31,N
188,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-10-13,2020-11-03,N
189,Chartwell Gibson Long Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,NA,2020-10-13,2020-11-11,N
190,Main Street Terrace - 2nd & 3rd Fl,77 Main St,LTCH,Respiratory,COVID-19,NA,2020-10-13,2020-12-04,N
191,Westside Ltc,1145 Albion Rd,LTCH,Respiratory,COVID-19,NA,2020-10-12,2020-11-01,N
192,Fudger House - 2W,439 Sherbourne St,LTCH,Respiratory,COVID-19,NA,2020-10-12,2020-12-26,N
193,Cedarvale Terrace Long Term Care - 6th Fl,429 Walmer Rd,LTCH,Respiratory,COVID-19,NA,2020-10-10,2020-10-24,N
194,Lakeside Long Term Care - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,COVID-19,NA,2020-10-10,2020-11-27,N
195,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,COVID-19,NA,2020-10-09,2020-10-24,N
196,North York General Hospital - 8 West,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-06,2020-10-19,N
197,Midland Gardens Care Community Ltch - 4th Fl,130 Midland Ave,LTCH,Respiratory,Unable to identify,NA,2020-10-06,2020-10-14,N
198,Cedarbrook Lodge - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,NA,2020-10-04,2020-10-30,N
199,Norfinch Care Community,22 Norfinch Ave,LTCH,Respiratory,COVID-19,NA,2020-10-02,2020-10-16,N
200,Unity Health Toronto - St. Joseph's Health Centre - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-10-02,2020-10-23,N
201,Kennedy Lodge - 2 North,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,NA,2020-10-02,2020-12-16,N
202,City Of Toronto ? Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,NA,2020-10-01,2020-10-16,N
203,The Dunfield Retirement Residence - 3rd Fl,77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,NA,2020-09-28,2020-10-10,N
204,"Villa Colombo - 1 & 2 Fidani, 2 Fusco, 4 Fidani",40 Playfair Ave,LTCH,Respiratory,COVID-19,NA,2020-09-28,2020-10-21,N
205,Vermont Square,914 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-09-27,2020-11-21,N
206,Valley View Residence,541 Finch Ave W,LTCH,Respiratory,Unable to identify,NA,2020-09-27,2020-10-15,N
207,Scarlett Heights Retirement Home,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,NA,2020-09-26,2020-10-20,N
208,Cheltenham Care Community,5395 Bathurst St,LTCH,Respiratory,Rhinovirus,Enterovirus,2020-09-25,2020-11-12,N
209,One Kenton Place - Ground Fl,1 Kenton Dr,Retirement Home,Respiratory,COVID-19,NA,2020-09-25,2020-10-02,N
210,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-09-24,2020-10-16,N
211,St. George Care Community,225 St George St,LTCH,Respiratory,COVID-19,NA,2020-09-21,2020-10-20,N
212,Uhn - Toronto Western Hospital - Msn Icu,399 Bathurst St,Hospital-Acute Care,Enteric,Clostridium difficile,NA,2020-09-19,2020-10-05,N
213,Humber Valley Terrace - 3rd Fl,95 Humber College Blvd,LTCH,Respiratory,COVID-19,NA,2020-09-17,2020-10-07,N
214,Norwood Nursing Home,122 Tyndall Ave,LTCH,Respiratory,COVID-19,NA,2020-09-17,2020-12-04,N
215,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,COVID-19,NA,2020-09-15,2020-10-30,N
216,Deerwood Creek Care Community - 2nf Fl LaRose Unit,70 Humberline Dr,LTCH,Enteric,Unable to identify,NA,2020-09-13,2020-09-18,N
217,Pine Villa Transitional Care - 2nd Fl,1035 Eglinton Ave W,LTCH,Respiratory,COVID-19,NA,2020-09-06,2020-09-21,N
218,Donway Place Retirement Home,8 The Don Way E,Retirement Home,Respiratory,COVID-19,NA,2020-09-03,2020-09-23,N
219,Fieldstone Commons Care Community - 3rd Fl,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,NA,2020-08-27,2020-10-07,N
220,Maynard Nursing Home,28 Halton St,LTCH,Respiratory,COVID-19,NA,2020-08-25,2020-09-11,N
221,Sunnybrook Health Sciences Centre - C5,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-08-23,2020-09-06,N
222,St. John's Rehabilitation Hospital - A2,285 Cummer Ave E,Hospital-Chronic Care,Respiratory,Unable to identify,NA,2020-08-15,2020-08-18,N
223,The O'Neill Centre - 2nd & 4th Fl,33 Christie St,LTCH,Enteric,Unable to identify,NA,2020-08-05,2020-08-12,N
224,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,COVID-19,NA,2020-08-02,2020-08-17,N
225,Kipling Acres - Kitchen,2233 Kipling Ave,LTCH,Respiratory,COVID-19,NA,2020-07-25,2020-08-15,N
226,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Enteric,Unable to identify,NA,2020-07-25,2020-08-21,N
227,Yee Hong Centre - Scarborough Finch,60 Scottfield Dr,LTCH,Respiratory,Unable to identify,NA,2020-07-15,2020-07-29,N
228,Craiglee Nursing Home,102 Craiglee Dr,LTCH,Enteric,Unable to identify,NA,2020-07-12,2020-07-28,N
229,Runnymede Healthcare Centre - 3rd Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-07-01,2020-07-13,N
230,Presentation Manor,61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,NA,2020-06-30,2020-07-03,N
231,"West Park Healthcare Centre - Ccc - 2w-D, 2w-E, 2w-F (Cavc U",82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-06-30,2020-07-17,N
232,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-06-30,2020-08-14,N
233,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Enteric,Unable to identify,NA,2020-06-30,2020-07-07,N
234,Kensington Gardens - South Bldg - 4 East & West,25 Brunswick Ave,LTCH,Respiratory,COVID-19,NA,2020-06-27,2020-07-11,N
235,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-06-26,2020-07-10,N
236,"Tendercare Living Centre - 2nd, 3rd, 4th, 5th  Fl",1020 McNicoll Ave,LTCH,Respiratory,COVID-19,NA,2020-06-25,2020-07-09,N
237,Humber Valley Terrace,95 Humber College Blvd,LTCH,Enteric,Unable to identify,NA,2020-06-25,2020-07-07,N
238,Harmony Hills Care Community - 2A,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,NA,2020-06-24,2020-07-11,N
239,Unity Health Toronto - St. Joseph's Health Centre - 6m,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-06-23,2020-07-20,N
240,Wesburn Manor - 400 The West Mall - 2020-06-18,400 The West Mall,LTCH,Respiratory,COVID-19,NA,2020-06-18,2020-06-30,N
241,William Osler Health System - 6 Med Flex,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-06-17,2020-07-13,N
242,The Rekai Centres At Sherbourne Place - 4th Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,NA,2020-06-16,2020-06-28,N
243,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,COVID-19,NA,2020-06-16,2020-06-30,N
244,Deerwood Creek Care Community - 2nd Fl,70 Humberline Dr,LTCH,Respiratory,COVID-19,NA,2020-06-15,2020-06-27,N
245,Fudger House - 2 East,439 Sherbourne St,LTCH,Respiratory,COVID-19,NA,2020-06-13,2020-06-27,N
246,Chartwell Trilogy Ltc - 1st Fl,340 McCowan Rd,LTCH,Respiratory,COVID-19,NA,2020-06-12,2020-06-26,N
247,Chester Village - 3rd Fl East Wing,3555 Danforth Ave,LTCH,Respiratory,COVID-19,NA,2020-06-10,2020-07-03,N
248,True Davidson Acres - 2nd Fl E,200 Dawes Rd,LTCH,Respiratory,COVID-19,NA,2020-06-10,2020-07-13,N
249,Nisbet Lodge,740 Pape Ave,LTCH,Respiratory,COVID-19,NA,2020-06-10,2020-08-07,N
250,Pine Villa Transitional Care - 2nd Fl,1035 Eglinton Ave W,LTCH,Respiratory,COVID-19,NA,2020-06-05,2020-06-20,N
251,Seven Oaks - Entire Faciility,9 Neilson Rd,LTCH,Respiratory,COVID-19,NA,2020-06-05,2020-06-23,N
252,Chartwell Scartlett Heights,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,NA,2020-06-03,2020-06-22,N
253,Leaside Retirement Residence - Bldg 10 - 2nd & 3rd Fl,10/14 Willian Morgan Dr,Retirement Home,Respiratory,COVID-19,NA,2020-06-02,2020-07-03,N
254,Baycrest Apotex Centre - Jewish Home for the Aged - POD 6EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-06-01,2020-06-12,N
255,Baycrest Apotex Centre - Jewish Home for the Aged - Apotex 3,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-06-01,2020-06-13,N
256,Tony Stacey Centre for Veteran's Care,59 Lawson Rd,LTCH,Respiratory,Unable to identify,NA,2020-06-01,2020-06-22,N
257,Dowling Retirement Home,124 Dowling Ave,Retirement Home,Respiratory,COVID-19,NA,2020-05-28,2020-06-06,N
258,Deerwood Creek Care Community - 3rd Fl A Side,70 Humberline Dr,LTCH,Respiratory,COVID-19,NA,2020-05-28,2020-06-07,N
259,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,COVID-19,NA,2020-05-28,2020-06-10,N
260,West Park Long Term Care Centre - 2nd & 3rd Fl,82 Buttonwood Ave,LTCH,Respiratory,COVID-19,NA,2020-05-28,2020-07-04,N
261,Garden Court Nursing Home,1 Sand Beach Rd,LTCH,Respiratory,COVID-19,NA,2020-05-27,2020-07-17,N
262,Retirement Suites By The Lake,2121 Kingston Rd,Retirement Home,Respiratory,COVID-19,NA,2020-05-26,2020-06-10,N
263,Kensington Gardens - 3rd Fl,25 Brunswick Ave,LTCH,Respiratory,COVID-19,NA,2020-05-26,2020-06-15,N
264,Presentation Manor - 1st & 2nd Fl,61 Fairfax Cres,LTCH,Respiratory,COVID-19,NA,2020-05-22,2020-06-12,N
265,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-05-22,2020-06-12,N
266,Amica at Bayview Gardens - 3rd to 8th Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,NA,2020-05-21,2020-06-04,N
267,William Osler Health System - Etobicoke General Hospital -,101 Humber College Blvd - 7 East,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-05-19,2020-06-06,N
268,Dom Lipa Nursing Home - K Wing & Retirement Home,52 Neilson Dr,LTCH,Respiratory,COVID-19,NA,2020-05-18,2020-06-07,N
269,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,COVID-19,NA,2020-05-17,2020-07-01,N
270,Yee Hong Centre (Scarborough Finch) - 6th Fl,60 Scottfield Dr,LTCH,Respiratory,COVID-19,NA,2020-05-15,2020-05-18,N
271,Cheltenham Care Community - 1st Fl,5935 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-05-15,2020-05-27,N
272,Westside - 4th Fl,1145 Albion Rd,LTCH,Respiratory,COVID-19,NA,2020-05-14,2020-06-14,N
273,Kennedy Lodge Nursing Home - Convalescent Unit,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,NA,2020-05-13,2020-05-18,N
274,Toronto Western Hospital - Emergency Dept,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-05-13,2020-05-22,N
275,Baycrest Hospital - 7 West,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-05-13,2020-05-25,N
276,Hellenic Care for Seniors,215 Tyrrel Ave,LTCH,Respiratory,COVID-19,NA,2020-05-13,2020-06-18,N
277,Fieldstone Commons Care Community,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,NA,2020-05-13,2020-06-22,N
278,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,COVID-19,NA,2020-05-13,2020-07-03,N
279,Mon Sheong Scarborough,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,NA,2020-05-12,2020-05-23,N
280,"Chartwell Trilogy Long Term Care Residence - 2nd, 3rd, 5th -",340 McCowen Rd - & 7th Fl,LTCH,Respiratory,COVID-19,NA,2020-05-12,2020-05-25,N
281,"The Briton House Retirement Home - Rm 300, 5th, 10th, 11th &",720 Mount Pleasant Rd - 12th Fl,Retirement Home,Respiratory,COVID-19,NA,2020-05-12,2020-05-26,N
282,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,COVID-19,NA,2020-05-12,2020-05-31,N
283,The Dunfield Retirement Residence,77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,NA,2020-05-09,2020-05-20,N
284,Reactivation Care Centre - Southlake Regional Health Centre,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-05-09,2020-05-28,N
285,The Annex Retirement Residence,129 Spadina Rd,Retirement Home,Respiratory,COVID-19,NA,2020-05-08,2020-05-23,N
286,Toronto Western Hospital - 9A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-05-08,2020-06-01,N
287,Chartwell Grenadier Retirement Residence - Assisted Living,2100 Bloor St W - Section - 4 Fls,Retirement Home,Respiratory,COVID-19,NA,2020-05-07,2020-05-31,N
288,Ivan Franko Home,767 Royal York Rd,LTCH,Respiratory,COVID-19,NA,2020-05-06,2020-05-19,N
289,"Leaside Retirement Residence - 2nd, 3rd, 4th & 7th Fl",10 William Morgan Dr - Bldg 10,Retirement Home,Respiratory,COVID-19,NA,2020-05-06,2020-05-26,N
290,The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,NA,2020-05-05,2020-05-13,N
291,Chartwell Avondale Retirement Residence,1238 Queen St E,Retirement Home,Respiratory,COVID-19,NA,2020-05-05,2020-05-19,N
292,North York General Hospital - 8 West,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-05-05,2020-05-19,N
293,Reactivation Care Centre - Southlake Regional Health Centre,2111 Finch Ave - 5 East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-05-04,2020-05-24,N
294,Tendercare Living Centre - 2nd Fl,1020 McNicoll Ave,LTCH,Respiratory,COVID-19,NA,2020-05-04,2020-05-25,N
295,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,COVID-19,NA,2020-05-03,2020-05-18,N
296,Scarborough Health Network - General Hospital - H3CP,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-05-03,2020-05-21,N
297,Tony Stacey Centre for Veteran's Care,59 Lawson Rd,LTCH,Respiratory,COVID-19,NA,2020-05-01,2020-05-15,N
298,Fudger House,439 Sherbourne St,LTCH,Respiratory,COVID-19,NA,2020-05-01,2020-05-21,N
299,Vermont Square - 7th Fl,914 Bathurst St,LTCH,Respiratory,COVID-19,NA,2020-05-01,2020-06-04,N
300,The Russell Hill Retirement Residence - 6th Fl,262 St. Clair Ave W,Retirement Home,Respiratory,COVID-19,NA,2020-04-30,2020-05-08,N
301,Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,COVID-19,NA,2020-04-30,2020-05-15,N
302,Toronto Western Hospital - Uhn - 8a / 8b,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-04-30,2020-05-16,N
303,Toronto Western Hospital - 3B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-04-30,2020-05-20,N
304,Kingsway Retirement Residence,4251 Dundas St W,Retirement Home,Respiratory,COVID-19,NA,2020-04-30,2020-06-06,N
305,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-04-30,2020-06-06,N
306,Scarlett Heights Retirement Home,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,NA,2020-04-29,2020-05-15,N
307,Cummer Lodge,205 Cummer Ave,LTCH,Respiratory,COVID-19,NA,2020-04-29,2020-05-19,N
308,Toronto General Hospital - Uhn - 6es,200 Elizabeth St,Hospital-Acute Care,Enteric,Clostridium difficile,NA,2020-04-28,2020-05-11,N
309,Reactivation Care Centre - William Osler - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-04-28,2020-06-02,N
310,The Hospital for Sick Children - 8B,555 University Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-04-27,2020-05-11,N
311,North York General Hospital - 5 West,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-04-27,2020-05-27,N
312,Fountain View Care Community - 1st Fl - Terrace Unit,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,NA,2020-04-26,2020-05-12,N
313,Reactivation Care Centre - Mackenzie Health - 3 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,NA,2020-04-26,2020-05-17,N
314,The Wexford Residence - 2nd Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2020-04-25,2020-05-08,N
315,Amica at Bayview Village,15 Barberry Pl,Retirement Home,Respiratory,COVID-19,NA,2020-04-24,2020-05-14,N
316,"St George Care Community - Entire Facility As Of May 2, 2020",225 St George St,LTCH,Respiratory,COVID-19,NA,2020-04-24,2020-06-23,N
317,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,COVID-19,NA,2020-04-24,2020-07-05,N
318,Extendicare Rouge Valley - Cedar Ridge,551 Conlins Rd,LTCH,Respiratory,COVID-19,NA,2020-04-23,2020-05-08,N
319,Belmont House,55 Belmont St,LTCH,Respiratory,COVID-19,NA,2020-04-23,2020-05-11,N
320,William Osler Health System - Etobicoke General Hospital - 9,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-04-23,2020-05-11,N
321,"Cedarvale Terrace - Mainfl, 2nd,3rd,5th, 6th",429 Walmer Rd,LTCH,Respiratory,COVID-19,NA,2020-04-21,2020-05-17,N
322,Villa Colombo,40 Playfair Ave,LTCH,Respiratory,COVID-19,NA,2020-04-21,2020-08-07,N
323,Scarborough Health Network - General Hospital - H2C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2020-04-20,2020-05-03,N
